feature,f1_without,f1_std,f1_drop,baseline_f1
op_count_filter,1.0,0.0,0.0,1.0
op_count_join,1.0,0.0,0.0,1.0
op_count_traversal,1.0,0.0,0.0,1.0
op_count_aggregate,1.0,0.0,0.0,1.0
op_count_map,1.0,0.0,0.0,1.0
ast_depth,1.0,0.0,0.0,1.0
has_traversal,1.0,0.0,0.0,1.0
max_hops,1.0,0.0,0.0,1.0
input_cardinality_log,1.0,0.0,0.0,1.0
output_cardinality_log,1.0,0.0,0.0,1.0
selectivity,1.0,0.0,0.0,1.0
avg_degree,1.0,0.0,0.0,1.0
max_degree,1.0,0.0,0.0,1.0
degree_skew,1.0,0.0,0.0,1.0
num_projected_columns,1.0,0.0,0.0,1.0
has_index,1.0,0.0,0.0,1.0
join_fanout,1.0,0.0,0.0,1.0
estimated_shuffle_bytes_log,1.0,0.0,0.0,1.0
estimated_traversal_ops,1.0,0.0,0.0,1.0
hist_avg_runtime_ms,1.0,0.0,0.0,1.0
hist_runtime_variance,1.0,0.0,0.0,1.0
num_tables_joined,1.0,0.0,0.0,1.0
