sub_id,query_id,dataset,op_count_filter,op_count_join,op_count_traversal,op_count_aggregate,op_count_map,ast_depth,has_traversal,max_hops,input_cardinality_log,output_cardinality_log,selectivity,avg_degree,max_degree,degree_skew,num_projected_columns,has_index,join_fanout,estimated_shuffle_bytes_log,estimated_traversal_ops,hist_avg_runtime_ms,hist_runtime_variance,num_tables_joined,sql_median_ms,sql_std_ms,graph_median_ms,graph_std_ms,speedup,label,label_source,sql_status,graph_status,sql_failures,graph_failures,fallback_applied,fallback_reason,semantic_penalty,source_row_id,resampled
sub_1_r0,q_snb_real_0173,snb_real_queries,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.8555190563201904,3.8555190563201904,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.235672473907471,0.0,-1.0,-1.0,2.0,125.27,4.82,375.81,0.0,0.333,SQL,real_measurement,,,,,,,,d20bc26c862dee33429d1c96eee01527c6b7a55dae81c5c8a1f3ba1782bd3a80,0
sub_0_r0,q_snb_expand_h3_0011,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,13115.162109375,-1.0,-1.0,1.0,246.72,28.29,142.94,26.89,1.726,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,a18eca1e7f6a6cf66762b1048ddd7453299f66a8f262bb807f95714577b861b4,1
sub_1_r0,q_ogb_real_0079,ogb_real_queries,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.8555190563201904,3.8555190563201904,1.0,0.0,0.0,0.0,2.0,0.0,1.0,5.059582233428955,0.0,-1.0,-1.0,1.0,135.61,11.31,406.83,0.0,0.333,SQL,real_measurement,,,,,,,,ddfa8dfcc0257d371b9381d8bcae854d92530095f7c3ac3cc2c273fae44d1413,0
sub_0_r0,q_snb_real_0014,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,309289.28125,-1.0,-1.0,1.0,333.84,34.55,141.64,7.45,2.357,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,6058e66efc792b7a3918c9f476d76d18df296b4b2a8f7b6715a8d01ffe5e5d06,1
sub_0_r0,q_ogb_real_0050,ogb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,5.1815690994262695,2.1818435192108154,0.0010000000474974,7.677550792694092,436.0,1.1782097816467283,1.0,0.0,1.0,3.082426309585572,68335.2890625,-1.0,-1.0,1.0,19064.95,0.0,197.5,0.0,96.531,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,79de9ae0afa86939041ea11447f80ed18ea80ae6e7e16c786c5c068db52a9f1e,1
sub_0_r0,q_snb_expand_h3_0004,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,13115.162109375,-1.0,-1.0,1.0,314.84,3.7,136.93,8.14,2.299,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,41e99e06441dc999e946fc7d7ed3292c8062c318eddabc99fc4c3d1b90f3a400,1
sub_0_r0,q_snb_expand_h3_0021,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,556.1378173828125,-1.0,-1.0,1.0,283.01,9.34,140.02,9.9,2.021,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,9a83b7ce198494482be56a9c59f6a3dd0d853995b226fd84e9ec2cafce56c7f2,1
sub_0_r0,q_ogb_real_0013,ogb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,5.1815690994262695,2.1818435192108154,0.0010000000474974,7.677550792694092,436.0,1.1782097816467283,1.0,0.0,1.0,3.082426309585572,68335.2890625,-1.0,-1.0,1.0,8567.5,0.0,578.63,0.0,14.807,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,25cae2afcc0464a76fc9f0a53dd352118a08301e86ebf6ae99b88e7f0a13caa5,1
sub_1_r0,q_snb_expand_h3_0016,snb_real_queries,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.8555190563201904,3.8555190563201904,1.0,0.0,0.0,0.0,2.0,0.0,1.0,5.059582233428955,0.0,-1.0,-1.0,1.0,336.78,0.01,1010.34,0.0,0.333,SQL,real_measurement,ok,not_applicable_penalized,0.0,0.0,0.0,none,0.0,53cd7bd842b3cdca7431eb51f146d127b678fad365f545b3bc7a7f109738d88f,0
sub_0_r0,q_snb_real_0194,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,23.58257484436035,-1.0,-1.0,1.0,40.79,1.86,84.64,0.39,0.482,SQL,real_measurement,,,,,,,,687ca4b66c2cb2d5abe333413a8c851c6a928b9977478aa8b80fd3d6d41ac071,0
sub_1_r0,q_ogb_real_0034,ogb_real_queries,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.8555190563201904,3.8555190563201904,1.0,0.0,0.0,0.0,2.0,0.0,1.0,5.059582233428955,0.0,-1.0,-1.0,1.0,126.03,0.99,378.09,0.0,0.333,SQL,real_measurement,,,,,,,,fb6bb6d4b74ebc9d903d6b9b0a34fe658312bf568f1a5a3f7664558882458d3b,0
sub_0_r0,q_snb_expand_h3_0045,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,556.1378173828125,-1.0,-1.0,1.0,210.11,23.52,146.58,16.31,1.433,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,9c391d67460d000deb64d6b87288c2ff521e2f2c95dd447102c7a7aae2054d4e,1
sub_0_r0,q_snb_bi_0070,snb_bi_real_queries,2.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,3.2307043075561523,0.3010300099849701,0.0010000000474974,0.0,0.0,0.0,3.0,0.0,1.0,1.3979400396347046,0.0,-1.0,-1.0,3.0,173.47,1.4,520.41,0.0,0.333,SQL,real_measurement,,,,,,,,585249f6f65cf5e2500b17f54df11ebc71f36c50dabdd4eeec85983c9d86cf14,0
sub_0_r0,q_snb_real_0047,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,309289.28125,-1.0,-1.0,1.0,55.35,12.09,66.06,5.96,0.838,SQL,real_measurement,,,,,,,,7ce61f3e149fc658577cf1c13aca2f05fbefa986406a1609c35436d0f9c8cf22,0
sub_0_r0,q_snb_real_0013,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,309289.28125,-1.0,-1.0,1.0,254.07,7.44,139.57,16.67,1.82,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,3d2f09956dd416272df6a09e8b73c331b03c57a0687f794aee2e7b82dd8ab471,1
sub_0_r0,q_snb_expand_h3_0044,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,13115.162109375,-1.0,-1.0,1.0,139.45,10.65,90.21,5.29,1.546,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,b8c04ae75bce9ca3648ca9fef1905d12ac3c5121bd5d31fda73aa6cc23747a9a,1
sub_0_r0,q_snb_expand_h3_0039,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,13115.162109375,-1.0,-1.0,1.0,146.51,12.03,153.04,39.57,0.957,SQL,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,63c27563036991a260cdf4b67b5daa554b49587aae254b0f87d986082b4ec210,0
sub_1_r0,q_ogb_real_0045,ogb_real_queries,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.8555190563201904,3.8555190563201904,1.0,0.0,0.0,0.0,2.0,0.0,1.0,5.059582233428955,0.0,-1.0,-1.0,1.0,159.77,15.78,479.31,0.0,0.333,SQL,real_measurement,,,,,,,,0b36d18dcca9a6dcd3512c370dc0fa707547dd388b569bc64e593a3f97176f60,0
sub_0_r0,q_ogb_real_0002,ogb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,5.1815690994262695,2.1818435192108154,0.0010000000474974,7.677550792694092,436.0,1.1782097816467283,1.0,0.0,1.0,3.082426309585572,68335.2890625,-1.0,-1.0,1.0,13944.3,0.0,227.46,0.0,61.304,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,8479a1b89d1c6c4ddf2a35093e53052838f28437ae3edd0c98429c3587358820,1
sub_0_r0,q_snb_expand_h3_0038,snb_real_queries,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.1872386932373047,0.3010300099849701,0.0010000000474974,23.58257484436035,391.0,1.3573168516159058,1.0,0.0,1.0,0.9542425274848938,556.1378173828125,-1.0,-1.0,1.0,168.35,19.58,165.45,22.82,1.018,GRAPH,real_measurement,ok,ok,0.0,0.0,0.0,none,0.0,f6bfaf0a09529974ec3854d381c421a0d45175dcf14e697b4fee21b362f789fe,1
